vulnerability_id,reporting_time,vulnerability_description,references,CWE-ID,CWE-Name,CVSS-Score
CVE-2007-6744,01/19/2012,"Flexera Macrovision InstallShield before 2008 sends a digital-signature password to an unintended application during certain signature operations involving .spc and .pvk files, which might allow local users to obtain sensitive information via unspecified vectors, related to an incorrect interaction between InstallShield and Signcode.exe.","http://kb.flexerasoftware.com/selfservice/microsites/search.do?cmd=displayKC&amp;docType=kc&amp;externalId=Installation-InstallShield-InstallShield2008Premier-Public-ProductInfo-IS2008PremProReleaseNotes2pdf&amp;sliceId=pdfPage_42,",http://cwe.mitre.org/data/definitions/200.html,Exposure of Sensitive Information to an Unauthorized Actor,N/A
CVE-2007-6751,01/04/2012,Cross-site scripting (XSS) vulnerability in the MailForm plugin before 1.20 for Movable Type allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,"http://jvn.jp/en/jp/JVN60887968/index.html,http://jvndb.jvn.jp/en/contents/2011/JVNDB-2011-000108.htmlhttp://www.h-fj.com/blog/archives/2007/01/23-111038.php,https://exchange.xforce.ibmcloud.com/vulnerabilities/72344,",http://cwe.mitre.org/data/definitions/79.html,Improper Neutralization of Input During Web Page Generation (&#39;Cross-site Scripting&#39;),N/A
CVE-2012-0809,01/31/2012,Format string vulnerability in the sudo_debug function in Sudo 1.8.0 through 1.8.3p1 allows local users to execute arbitrary code via format string sequences in the program name for sudo.,"http://archives.neohapsis.com/archives/fulldisclosure/2012-01/0591.html,http://archives.neohapsis.com/archives/fulldisclosure/2012-01/att-0591/advisory_sudo.txthttp://security.gentoo.org/glsa/glsa-201203-06.xml,http://www.sudo.ws/sudo/alerts/sudo_debug.html,",http://cwe.mitre.org/data/definitions/134.html,Use of Externally-Controlled Format String,N/A
CVE-2012-0937,01/30/2012,"** DISPUTED ** wp-admin/setup-config.php in the installation component in WordPress 3.3.1 and earlier does not limit the number of MySQL queries sent to external MySQL database servers, which allows remote attackers to use WordPress as a proxy for brute-force attacks or denial of service attacks via the dbhost parameter, a different vulnerability than CVE-2011-4898.  NOTE: the vendor disputes the significance of this issue because an incomplete WordPress installation might be present on the network for only a short time.","http://archives.neohapsis.com/archives/bugtraq/2012-01/0150.html,http://www.exploit-db.com/exploits/18417https://www.trustwave.com/spiderlabs/advisories/TWSL2012-002.txt,",NVD-CWE-noinfo,Insufficient Information,N/A
CVE-2011-4622,01/27/2012,"The create_pit_timer function in arch/x86/kvm/i8254.c in KVM 83, and possibly other versions, does not properly handle when Programmable Interval Timer (PIT) interrupt requests (IRQs) when a virtual interrupt controller (irqchip) is not available, which allows local users to cause a denial of service (NULL pointer dereference) by starting a timer.","http://lists.opensuse.org/opensuse-security-announce/2012-05/msg00013.html,http://lists.opensuse.org/opensuse-security-announce/2013-06/msg00005.htmlhttp://permalink.gmane.org/gmane.comp.emulators.kvm.devel/83564,http://www.openwall.com/lists/oss-security/2011/12/21/7,http://www.redhat.com/support/errata/RHSA-2012-0051.html,http://www.securityfocus.com/bid/51172,http://www.securitytracker.com/id?1026559,https://bugzilla.redhat.com/show_bug.cgi?id=769721,",NVD-CWE-noinfo,Insufficient Information,N/A
CVE-2011-1162,01/27/2012,"The tpm_read function in the Linux kernel 2.6 does not properly clear memory, which might allow local users to read the results of the previous TPM command.","http://www.securityfocus.com/bid/50764,https://bugzilla.redhat.com/show_bug.cgi?id=732629",http://cwe.mitre.org/data/definitions/200.html,Exposure of Sensitive Information to an Unauthorized Actor,N/A
CVE-2011-1184,01/14/2012,"The HTTP Digest Access Authentication implementation in Apache Tomcat 5.5.x before 5.5.34, 6.x before 6.0.33, and 7.x before 7.0.12 does not have the expected countermeasures against replay attacks, which makes it easier for remote attackers to bypass intended access restrictions by sniffing the network for valid requests, related to lack of checking of nonce (aka server nonce) and nc (aka nonce-count or client nonce count) values.","http://lists.opensuse.org/opensuse-security-announce/2012-02/msg00002.html,http://lists.opensuse.org/opensuse-security-announce/2012-02/msg00006.htmlhttp://marc.info/?l=bugtraq&amp;m=133469267822771&amp;w=2,http://marc.info/?l=bugtraq&amp;m=136485229118404&amp;w=2,http://marc.info/?l=bugtraq&amp;m=139344343412337&amp;w=2,http://rhn.redhat.com/errata/RHSA-2012-0074.html,http://rhn.redhat.com/errata/RHSA-2012-0075.html,http://rhn.redhat.com/errata/RHSA-2012-0076.html,http://rhn.redhat.com/errata/RHSA-2012-0077.html,http://rhn.redhat.com/errata/RHSA-2012-0078.html,http://rhn.redhat.com/errata/RHSA-2012-0325.html,http://svn.apache.org/viewvc?view=rev&amp;rev=1087655,http://svn.apache.org/viewvc?view=rev&amp;rev=1158180,http://svn.apache.org/viewvc?view=rev&amp;rev=1159309,http://tomcat.apache.org/security-5.html,http://tomcat.apache.org/security-6.html,http://tomcat.apache.org/security-7.html,http://www.debian.org/security/2012/dsa-2401,http://www.mandriva.com/security/advisories?name=MDVSA-2011:156,http://www.redhat.com/support/errata/RHSA-2011-1845.html,https://lists.apache.org/thread.html/06cfb634bc7bf37af7d8f760f118018746ad8efbd519c4b789ac9c2e@%3Cdev.tomcat.apache.org%3E,https://lists.apache.org/thread.html/8dcaf7c3894d66cb717646ea1504ea6e300021c85bb4e677dc16b1aa@%3Cdev.tomcat.apache.org%3E,https://lists.apache.org/thread.html/r3aacc40356defc3f248aa504b1e48e819dd0471a0a83349080c6bcbf@%3Cdev.tomcat.apache.org%3E,https://lists.apache.org/thread.html/r584a714f141eff7b1c358d4679288177bd4ca4558e9999d15867d4b5@%3Cdev.tomcat.apache.org%3E,https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A19169,",http://cwe.mitre.org/data/definitions/264.html,"Permissions, Privileges, and Access Controls",N/A
CVE-2011-1362,01/14/2012,Cross-site scripting (XSS) vulnerability in the Installation Verification Test (IVT) application in the Install component in IBM WebSphere Application Server (WAS) 6.1 before 6.1.0.41 and 7.0 before 7.0.0.19 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2011-1308.,"http://www-01.ibm.com/support/docview.wss?uid=swg1PM40733,http://www-01.ibm.com/support/docview.wss?uid=swg1PM65992http://www-01.ibm.com/support/docview.wss?uid=swg27007951,https://exchange.xforce.ibmcloud.com/vulnerabilities/69731,",http://cwe.mitre.org/data/definitions/79.html,Improper Neutralization of Input During Web Page Generation (&#39;Cross-site Scripting&#39;),N/A
CVE-2011-1376,01/19/2012,"iscdeploy in IBM WebSphere Application Server (WAS) 6.1 before 6.1.0.43, 7.0 before 7.0.0.21, and 8.0 before 8.0.0.2 on the IBM i platform sets weak permissions under systemapps/isclite.ear/ and bin/client_ffdc/, which allows local users to read or modify files via standard filesystem operations.","http://www-01.ibm.com/support/docview.wss?uid=swg21569205,http://www-01.ibm.com/support/docview.wss?uid=swg24031675http://www.ibm.com/support/docview.wss?uid=swg1PM49712,https://exchange.xforce.ibmcloud.com/vulnerabilities/71230,",http://cwe.mitre.org/data/definitions/264.html,"Permissions, Privileges, and Access Controls",N/A
CVE-2011-1377,01/14/2012,"The Web Services Security component in the Web Services Feature Pack before 6.1.0.41 for IBM WebSphere Application Server (WAS) 6.1 does not properly handle the enabling of WS-Security for a JAX-WS application, which has unspecified impact and attack vectors.","http://www-01.ibm.com/support/docview.wss?uid=swg1PM43792,http://www-01.ibm.com/support/docview.wss?uid=swg1PM50205http://www-01.ibm.com/support/docview.wss?uid=swg27011716,http://www.securityfocus.com/bid/50310,https://exchange.xforce.ibmcloud.com/vulnerabilities/72299,",NVD-CWE-noinfo,Insufficient Information,N/A
